,0
0,0.4251902114657242
1,0.7517936013899251
2,1.42589551514418
3,1.8185566359362837
4,0.28886672659157453
5,0.9926648467887729
6,1.0638886813300985
7,1.6776243893452114
8,2.030866746335614
9,1.828101693733784
10,1.09869783476862
11,1.5591217197444531
12,1.3296589925641054
13,1.143299491986871
14,1.511667352387652
15,1.4580048225260493
16,1.8392714014215428
17,2.2200146869615893
18,1.818591934348159
19,2.0640054857884036
20,2.611202171773463
21,2.490996371943854
22,1.357632895570577
23,1.1851347136346266
24,1.4557940468528057
25,1.5517949266815463
26,1.4508999430533644
27,2.0209671143368673
28,1.619429699415035
29,1.937389635557666
30,3.0442969635596016
31,2.6957509793389165
32,3.520431596149319
33,3.149882841589378
34,2.308037992966867
35,2.5313373577590457
36,2.843976507770243
37,3.2561131460997603
38,3.1466980655464014
39,3.1774756832655497
40,3.6204456893524974
41,4.683314221916632
42,5.286170348914638
43,6.080093737648022
44,4.757034635178561
45,4.434367497038883
46,5.044901781434559
47,6.013624897669967
48,5.217347515114355
49,5.025444510113207
50,4.0160294701601575
51,5.014571421350702
52,3.8682023450222967
53,2.786238558862992
54,4.810842245018968
55,3.5940661924033885
56,2.5500254954606523
57,2.887055305226762
58,2.1641902220606775
59,1.8226969961393853
60,1.042292927476565
61,0.5869393060830532
62,1.5802915312234593
63,-0.6888173803274249
64,-0.324478625543013
65,0.3267772565530267
66,-0.49795985663074926
67,0.35130829825875054
68,0.5831166569822885
69,-2.1798770658185447
70,-0.31997353696655617
71,0.06557847527061922
72,-1.1822274933578782
73,-0.3763823183423982
74,-0.1895746088382131
75,-1.181673755458711
76,-1.5683730515447332
77,0.40888616910250786
78,0.2485750989992508
79,-0.1767681099797862
80,0.11132650633663133
81,0.46298590055600597
82,0.044058030347593036
83,0.21734978694106477
84,1.4144580964238807
85,-0.3344476277020263
86,-0.5810783245652202
87,-0.6262165206432111
88,-0.5113811430496358
89,-0.7393938820623158
90,-0.45531717613502476
91,-0.10541267102259688
92,-0.019449064013738582
93,-0.18655710065480946
94,-0.16354879444862025
95,0.7856918180061943
96,0.7519994442755147
97,0.9391659901442497
98,0.4251760458949896
99,1.8429800425689904
100,1.6752114351336291
101,2.055709483204365
102,2.1479407255498564
103,2.1305922768319845
104,2.704353965001467
105,2.264762441277393
106,2.2750679627631203
107,2.9137686135897716
108,3.030775862500979
109,2.9795364619370344
110,3.463242625123503
111,3.870790297605026
112,4.348114910194571
113,3.8008792126754867
114,3.6195147696731644
115,3.475028821110874
116,3.4844068751441113
117,3.9125594200440355
118,3.1426806065806088
119,2.3576735613041495
120,2.618479020833569
121,3.9946615994256116
122,3.770029282111931
123,3.636052299001182
124,3.5804439717694554
125,3.5815824730232495
126,3.613250741727829
127,2.8345761310226165
128,2.538199653825725
129,2.3565025516044256
130,2.4929301483263013
131,3.510524856547223
132,3.512597909480322
133,4.055581407332841
134,4.341218244678606
135,4.0385372521650815
136,2.938974793813134
137,3.0441338552896213
138,3.398482140464363
139,3.8731619714236687
140,4.069958646935795
141,3.101611779887523
142,3.5933342120427922
143,5.331678769541584
144,3.3794248677488192
145,3.6985451012144623
146,3.4967140627041826
147,4.168826039337391
148,3.280734391122587
149,3.5430431206186017
150,3.6142820012171266
151,2.676987498490155
152,3.52479122224231
153,4.012502561679803
154,4.014969656656184
155,3.5985885416145105
156,2.1068648305790307
157,2.85158116357368
158,1.8244434968401682
159,3.1910763721631494
160,2.965013433651204
161,2.171561973407757
162,2.7302013259550493
163,1.9575641167839541
164,2.9519219634576905
165,2.91654853842388
166,2.521411657160827
167,3.775929514848864
168,2.586727152479972
169,2.814624129685845
170,2.85059234434638
171,3.1660063242362253
172,3.0399166267279356
173,3.5668226193352752
174,2.971790042811518
175,3.8732263991135283
176,2.0063493169896423
177,2.0075311389782278
178,1.1621414801962704
179,3.478283786826562
180,1.3470218955046032
181,0.9495021332716727
182,3.1078345838095456
183,3.1376451522530684
184,3.1315697846601203
185,2.608492399986902
186,3.0989229051824743
187,3.486005335989207
188,3.2628819960446127
189,2.5227538590430725
190,2.2510588027239637
191,2.6664394954586492
192,2.8961473418958144
193,2.8553261079101726
194,2.8702596784640773
195,2.539571057546588
196,2.2497412657695706
197,2.0459109054601217
198,1.9701310503640026
199,1.7679990891103485
200,2.3123923859520894
201,1.6659294600753278
202,1.9309856015715146
203,1.1161222100635588
204,2.7272463224188948
205,3.3319656988645474
206,3.6801522602682986
207,3.8577613029570528
208,4.593425718114011
209,3.737392967776769
210,3.9204042755747577
211,3.7438520441095657
212,3.5879110685579216
213,2.844914043245135
214,3.8517063450131306
215,3.7825797002731583
216,3.1243962969877654
217,2.851181147735655
218,3.4266705345912087
219,3.705332704451344
220,3.9243307119969635
221,3.863011618888876
222,3.8692509612768444
223,4.08391451799776
224,3.947701697291411
225,3.6967004218701107
226,2.8246983753565673
227,2.7725054587135562
228,2.8645192781853237
229,2.7126413023886253
230,3.030425679992931
231,1.950815587372254
232,1.951502551779496
233,2.7864263682940336
234,2.499745231794843
235,2.6102585293783904
236,2.936780232742693
237,2.7280150888366665
238,2.0704171921635495
239,1.3299224383965638
240,1.304423841217631
241,1.7387084664740438
242,1.4912229777497132
243,1.224745957292083
244,1.964072640972684
245,1.6656660933397922
246,2.360246611317757
247,2.4467500438184966
248,2.7651472361782576
249,2.4620746911077256
250,2.7141049821848555
251,2.578791597252765
252,3.043622686748684
253,2.9609934996800242
254,2.5567153722946814
255,2.8655377566203186
256,3.1361408242993494
257,3.437612948218415
258,2.2679973788624967
259,2.373766703123295
260,2.746142432612395
261,2.8941699065927833
262,2.5967159035971323
263,3.231058374375491
264,3.3965317410570335
265,3.397849245254385
266,2.876795464889969
267,2.1553260898044386
268,2.8516711564578494
269,2.8305058608267966
270,4.034028182520942
271,4.871498443158924
272,4.608849051978394
273,3.5986706201008745
274,4.583430688811438
275,2.2708829603988767
276,3.0631740004919226
277,2.972666280819159
278,3.6811713518681093
279,3.082761806922059
280,3.274479177696668
281,2.79856447970255
282,3.125478827947734
283,3.741708880585025
284,3.0993746489183818
285,3.5321593735948915
286,2.614706905887084
287,2.7817802202212394
288,2.5710639622121874
289,1.610527663674207
290,2.167536624740444
291,2.0696786573354378
292,2.179199588192439
293,3.0331814763403986
294,0.7630010568049643
295,0.4621762399471794
296,1.7714891667071107
297,1.8799849865099376
298,1.3286186657863008
299,1.2387991591074807
300,2.0801437302442305
301,1.0249445027458615
302,1.342536043344983
303,1.7420962745457804
304,1.1725378532239326
305,1.7032286678776258
306,1.2881434142298533
307,1.778142044943119
308,1.7917371273723268
309,1.8691215390682072
310,1.7308002748367195
311,1.8159701773936
312,1.6119746602840652
313,1.5765157179995453
314,1.5551787161395176
315,1.4999923548078944
316,0.40237488598032645
317,1.1236339283192724
318,-0.31492228167330527
319,-0.04040843989271936
320,-0.4858319953144896
321,-0.12303814184843898
322,-0.4112436573711338
323,-0.8688308866627967
324,0.23711475739554055
325,-0.7676705792095198
326,-1.1253920444015946
327,-1.0952079191169752
328,-1.2306208111321837
329,-0.9958055804409454
330,-0.023003468650648173
331,-0.12503908981157652
332,0.1640711895551994
333,0.13469843960029948
334,0.12205047589153617
335,0.2895467709636974
336,0.05933343663362889
337,0.23582704288503065
338,-0.6394746683555401
339,0.08309223029727475
340,-0.11255607697129211
341,0.15864962890254208
342,-0.12739163016484945
343,-0.19170889474280717
344,-0.6390742523450865
345,0.24190494171619958
346,1.7163493350190318
347,-0.8863614009819571
348,-0.12843316765037205
349,1.1041795642711358
350,0.8317158259624029
351,0.8026846347452521
352,0.3713920433061997
353,0.604672728305629
354,1.129755570677517
355,0.7480460214096429
356,1.017002115030996
357,-0.13094352324931036
358,-0.37979645308802557
359,-0.3823679011675507
360,-0.4976551932231774
361,-1.1731578909826081
362,-0.8539089453228119
363,-0.48991883441110495
364,0.29533087044491024
365,-0.2927765941639011
366,-0.12440920543281697
367,-0.08357389641322621
368,0.01723234018782227
369,0.11421687184192697
370,0.028166702480078243
371,0.025969166004942146
372,0.3049464628269467
373,-0.23628894760572772
374,0.13683407698788397
375,0.27565969698786885
376,0.20716657254662474
377,0.1833079236301609
378,-0.4082314013963826
379,-0.3199304239729104
380,-0.162598896112506
381,-0.38957864418204213
382,-0.05204089422422342
383,-0.053733506487073424
384,0.4836988452487785
385,-0.13191598263163717
386,-0.1758760391983567
387,0.29427300676228185
388,0.4457069268097351
389,0.20189023913706805
390,0.1410868242672465
391,0.5754622553931119
392,0.4622857224949817
393,1.0114976295706386
394,-0.6339654267949015
395,-0.7830715531544543
396,-0.21064473158737895
397,-0.11460518461374347
398,0.213671661842342
399,-0.19414891509822185
400,-0.3452743886396261
401,-0.4382852811933251
402,-0.2968023853406194
403,0.02391170532617304
404,-0.26272041658289647
405,-0.011638719583356938
406,-0.007728750967040732
407,-0.020546293134669824
408,0.10738559580247253
409,0.4185887788811038
410,0.6687463560593705
411,0.7348062057000164
412,0.7822295810137181
413,1.0994021441490376
414,-0.6820002226858599
415,-0.5452216827163894
416,-0.24306366297230486
417,-0.45950914863157477
418,-0.3788676124939774
419,-1.2273535108498181
420,-0.2297455622674902
421,-0.1237113211655112
422,-0.2192687949533001
423,0.3627007301265128
424,0.286094396419855
425,0.33997645354893846
426,0.5087853490775252
427,0.4859952723298355
428,0.43807847903143093
429,0.6137847593332841
430,-1.606713220096754
431,-0.9460436662483533
432,-0.35385692556667525
433,-1.4181706918092527
434,-1.2555835464462457
435,-1.638570092426817
436,-1.130005331119774
437,-0.5157498041794786
438,-0.24553114377050678
439,0.19817451372634132
440,0.7193287545059075
441,0.9189236854770759
442,0.513472156319156
443,0.21868882714840154
444,0.05535330613019074
445,-0.11991796955169365
446,-0.10939405986270279
447,0.3873212183209529
448,0.9664374830852571
449,0.5262965560844619
450,-0.1565336546944711
451,-0.5531989016910477
452,-1.2623672756626527
453,-1.9796745968160263
454,-4.622445454135096
455,-2.9534822568325705
456,-2.083871033546327
457,-3.0131177176890356
458,-2.6841283290156523
459,-3.5423026451134936
460,-3.5179057352302134
461,-2.0943134548129057
462,-1.7816939724621894
