,Brent,Shanghai,WTI
0,70.12000274658203,68.02215005114304,65.55000305175781
1,70.11000061035156,67.59773078906653,65.25
2,69.52999877929688,65.33159500584831,64.37999725341797
3,70.2699966430664,65.07719741903819,64.94000244140625
4,67.63999938964844,66.3143499584963,63.0099983215332
5,68.12000274658203,64.09848205493324,63.5099983215332
6,68.0199966430664,63.84771785229771,63.369998931884766
7,68.6500015258789,63.77009213767432,63.41999816894531
8,71.04000091552734,65.57871140680955,65.51000213623047
9,72.05999755859375,66.51171677621765,66.81999969482422
10,72.0199966430664,68.38847603723264,67.06999969482422
11,72.58000183105469,67.87474288805059,67.38999938964844
12,71.41999816894531,67.64316981159608,66.22000122070312
13,71.58000183105469,68.103955528935,66.5199966430664
14,73.4800033569336,68.41812028292414,68.47000122070312
15,73.77999877929688,70.23304937500157,68.29000091552734
16,74.05999755859375,69.60704656569547,68.37999725341797
17,74.70999908447266,69.89119432355093,68.63999938964844
18,73.86000061035156,70.81901671334553,67.69999694824219
19,74.0,69.45875977575142,68.05000305175781
20,74.73999786376953,69.7898727949193,68.19000244140625
21,74.63999938964844,70.11396165538072,68.0999984741211
22,73.36000061035156,70.0377409412012,67.93000030517578
23,73.62000274658203,70.2664489523749,68.43000030517578
24,74.87000274658203,70.34803840517954,69.72000122070312
25,76.16999816894531,72.0404916646254,70.7300033569336
26,74.8499984741211,72.11636825362964,69.05999755859375
27,77.20999908447266,73.03326738896301,71.13999938964844
28,77.47000122070312,74.88917383882539,71.36000061035156
29,77.12000274658203,74.22576660352104,70.69999694824219
30,78.2300033569336,73.51849988325843,70.95999908447266
31,78.43000030517578,74.59413138912154,71.30999755859375
32,79.27999877929688,74.19081600933933,71.48999786376953
33,79.30000305175781,75.64555268236522,71.48999786376953
34,78.51000213623047,76.41921433097077,71.27999877929688
35,79.22000122070312,75.57811497671172,72.23999786376953
36,79.56999969482422,76.02137350708635,72.12999725341797
37,79.80000305175781,76.14468294959913,71.83999633789062
38,78.79000091552734,75.91409796104502,70.70999908447266
39,76.44000244140625,74.86983257903663,67.87999725341797
40,75.38999938964844,72.48800269007606,66.7300033569336
41,77.5,72.29685247060435,68.20999908447266
42,77.58999633789062,73.62106321457776,67.04000091552734
43,77.58999633789062,74.0642521141594,65.80999755859375
44,75.29000091552734,73.35576287777462,64.75
45,75.37999725341797,72.76416345891285,65.5199966430664
46,75.36000061035156,72.59952923778495,64.7300033569336
47,77.31999969482422,72.91911411702714,65.94999694824219
48,76.45999908447266,73.26230979682892,65.73999786376953
49,76.45999908447266,72.98187316148378,66.0999984741211
50,75.87999725341797,73.86256809734473,66.36000061035156
51,76.73999786376953,72.57245730983077,66.63999938964844
52,75.94000244140625,73.17149689440531,66.88999938964844
53,73.44000244140625,72.94870785282934,65.05999755859375
54,75.08000183105469,71.48847768911858,65.06999969482422
55,74.73999786376953,71.57505359685067,66.22000122070312
56,73.05000305175781,71.04888992566937,65.54000091552734
57,75.55000305175781,70.70131649690192,68.58000183105469
58,74.7300033569336,71.72178275497991,68.08000183105469
59,76.30999755859375,72.10582620040418,70.52999877929688
60,77.62000274658203,73.72725477041932,72.76000213623047
61,77.8499984741211,74.37252798589661,73.44999694824219
62,79.44000244140625,74.65974678863041,74.1500015258789
63,77.30000305175781,75.72120824372647,73.94000244140625
64,77.76000213623047,75.52462366470466,74.13999938964844
65,77.38999938964844,75.03807730927305,72.94000244140625
66,77.11000061035156,74.68961156249672,73.80000305175781
67,78.06999969482422,74.96384868881277,73.8499984741211
68,78.86000061035156,76.32422250862821,74.11000061035156
69,73.4000015258789,76.59016070549521,70.37999725341797
70,74.44999694824219,73.71161991279676,70.33000183105469
71,75.33000183105469,73.67346990279844,71.01000213623047
72,71.83999633789062,73.47712966628522,68.05999755859375
73,72.16000366210938,71.61217213169074,68.08000183105469
74,72.9000015258789,71.79280747155795,68.76000213623047
75,72.58000183105469,72.36107591419047,69.45999908447266
76,73.06999969482422,72.86205928985012,70.45999908447266
77,73.05999755859375,72.56477377064726,67.88999938964844
78,73.44000244140625,72.83569100951316,68.5199966430664
79,73.93000030517578,74.08879874045616,69.30000305175781
80,74.54000091552734,74.43083470347608,69.61000061035156
81,74.29000091552734,74.73314637504154,68.69000244140625
82,74.97000122070312,74.8455113773684,70.12999725341797
83,74.25,75.30558128772553,68.76000213623047
84,74.25,73.88757722869242,67.66000366210938
85,73.44999694824219,73.82816056635055,68.95999908447266
86,73.20999908447266,75.15220797492152,68.48999786376953
87,73.75,75.89416403429973,69.01000213623047
88,74.6500015258789,78.37644361486537,69.16999816894531
89,72.27999877929688,76.56286534360453,66.94000244140625
90,72.06999969482422,75.08193067429919,66.80999755859375
91,72.80999755859375,74.26802592625364,67.62999725341797
92,72.61000061035156,74.39163343089427,67.19999694824219
93,72.45999908447266,74.89766882457155,67.04000091552734
94,70.76000213623047,74.0918287256458,65.01000213623047
95,71.43000030517578,71.8076645082298,65.45999908447266
96,71.83000183105469,72.17903317529765,65.91000366210938
97,72.20999908447266,71.45973520371811,66.43000030517578
98,72.62999725341797,72.39528559324249,67.3499984741211
